标题	面积	单价	总价
德胜新上豪华装修两居 采光五遮挡 满五年公房 能高  随时看	61.17㎡	106262元/㎡	650万元
马甸安贞精装修 不临街 视线好 精致两居一厅 诚意出售	53.53㎡	66505元/㎡	356万元
冬晴园 交通便利 精装好房 正规商品房 南北通透	60.29㎡	82767元/㎡	499万元
四惠  东恒时代一期  1室  1厅	63.74㎡	62755元/㎡	400万元
海淀区清河莱圳家园2室1厅	87.65㎡	79293元/㎡	695万元
太阳宫人朝分 西坝河北里 三居室 1993年	53.03㎡	60344元/㎡	320万元
住总推荐必看好房 均价3.     西南向三居室  诚意出售	97.04㎡	32977元/㎡	320万元
国瑞城中区满五  商品房精装	58.63㎡	90057元/㎡	528万元
东坝首开常青藤四期 楼龄新 装修好 南北通透 板楼 近地铁	93.54㎡	72697元/㎡	680万元
汇景苑二区 集中供暖 中间楼层 南北通透 正规商品房	80.73㎡	46576元/㎡	376万元
国贸CBD 金台里电梯钢混中高层双东向两居 有钥匙随时看	64.2㎡	49689元/㎡	319万元
十里堡  京棉新城三厂 东南2居 满五   采光好	84.01㎡	45221元/㎡	379.9万元
急急急别看报价可大谈 珠江帝景 物业直售 再售房源 都可带看	124.31㎡	90259元/㎡	1122万元
首付~60W~金隅润生园~08年电梯房~精装修~位置安静诚售	64.19㎡	47983元/㎡	308万元
聚焦 08年面宽4.4米 落地窗全明格局 带地下室 看房方便	96.56㎡	55924元/㎡	540万元
（优选好房）青荷里晨风园二期全南向精装修高楼层两居室试随时看	88.6㎡	36118元/㎡	320万元
海堂湾二期17层高层全明东南2居采光观景两不误贰捌叁万  房	90.22㎡	38240元/㎡	345万元
珠江骏景南区 医疗配套成熟 商品房 有电梯 购物方便	73.53㎡	63648元/㎡	468万元
首邑上城小区,交通便利,环境优美,配套成熟	134.56㎡	42064元/㎡	566万元
21世纪推荐  优选户型  看房随时	69.22㎡	75123元/㎡	520万元
北一区板楼南北通透三居，商品房！落地阳台双地铁！有钥匙！	126.11㎡	37587元/㎡	474万元
益辰欣园 2室1厅 看房方便  业主诚售  随时签约	95.85㎡	61033元/㎡	585万元
中间好楼层 商品住宅 商圈成熟 出行方便 近地铁 南北通透	52.12㎡	111282元/㎡	580万元
招商都会湾(一期) 户型方正 南北通透 中间楼层 价格能谈	89.15㎡	48795元/㎡	435万元
AAAAA亚运村鸟巢党史馆森林公园旁边慧忠北里占位一居室	65.79㎡	53200元/㎡	350万元
程庄南里小区 大三居 全明户型 没有遮挡 看房方便	131㎡	37405元/㎡	490万元
商品房满五   南北通透 双卫 精装修 可拎包入住 中间楼层	125.02㎡	39114元/㎡	489万元
美景东方方方正正小一居，没有浪费面积，首付低，随时看房，急售	51.37㎡	64046元/㎡	329万元
学知园 圣熙八号北侧 学知轩 奢阔一居 36平大客厅	89.8㎡	54566元/㎡	490万元
交易有保单 必看好房 店长力荐 新源时代	109.29㎡	28823元/㎡	315万元
新上3居 泰河园一里一区 业主自住 拎包入住	92.52㎡	48639元/㎡	450万元
法华南里 2室 56.85平米	56.85㎡	87775元/㎡	499万元
新增！442萬！朝阳区 东一时区 南北 可按揭 仅契 税法拍	128.03㎡	37882元/㎡	485万元
朝阳双桥近地铁华龙美树满五V1商品房南北双卫三居H户型临地铁	107.44㎡	51750元/㎡	556万元
业主用钱，价格能大谈，急售，高楼层，艺苑桐城	126.17㎡	42007元/㎡	530万元
融泽三期2号院南北通两居室小区  位置满五年随时签约	87.32㎡	47985元/㎡	419万元
东四地铁口，新上低总价两居，南北通透小区已改造仅  诚意卖	55.88㎡	86794元/㎡	485万元
西钓鱼台 定慧寺东里  满五   电梯高楼层 下楼公园	66.4㎡	72290元/㎡	480万元
海淀上地清河13号清河 昌平南延线站 安宁里南北向双阳台公房	60.85㎡	63271元/㎡	385万元
急售，价格还能商量，南北向，高楼层，看房随时	77.31㎡	81361元/㎡	629万元
新上南沙滩五建低楼层两居室 南北通透	55.67㎡	65565元/㎡	365万元
延静里中街 田字格南北通透 采光视野好	84.14㎡	42786元/㎡	360万元
总监推荐马甸 双南向裕民路1号院不临街二居安华桥诚心	50.33㎡	73515元/㎡	370万元
国贸 棕榈泉 朝阳公园 万科物业租售部推荐公园五号开间	58.51㎡	61528元/㎡	360万元
车道沟 车道沟南里 三室一厅  84.7平 满五年 看房方便	84.7㎡	87132元/㎡	738万元
东坝首开常青藤近地铁 三居 密度低 南北通透 有电梯 装修好	96.36㎡	71607元/㎡	690万元
润杰经典金隅万科水关新村东关南里 南北二层双卫户型方正无遮挡	103.03㎡	32030元/㎡	330万元
刘家窑地铁150米正规三居室全南向三居室可  	92.64㎡	46309元/㎡	429万元
双井国贸 CBD 南向一居 高楼层 装修保养好 满五  	64.1㎡	48362元/㎡	310万元
物业租售部 彩虹新城 满五年  税费低 高层采光好   好房	87.47㎡	47445元/㎡	415万元
马连洼菊园 南北通透两居室 中间楼层 装修好 拎包入住	54.24㎡	71903元/㎡	390万元
海淀 低楼层两居室 满五年名下一套 随时看房	69.29㎡	55564元/㎡	385万元
朝阳区华威桥弘燕路小区2室1厅	65.47㎡	47198元/㎡	309万元
周家庄中路18号院南北双通透 房龄新 交通便捷 收藏	93㎡	47312元/㎡	440万元
必卖好房！地铁6号线22号线 二外北门 五建 南北正规两居！	66.96㎡	45998元/㎡	308万元
  清退关系户预留房源 想买找我 楼层好	76.12㎡	82108元/㎡	625万元
广安门西城区 达官营西城 满五年 双南向两居室	50.45㎡	81269元/㎡	410万元
（物业租售部）低行情价120个）单价5w2）70年租1.4w	110㎡	52728元/㎡	580万元
2007年次新社区 观景   满五年住房	61.93㎡	74278元/㎡	460万元
梅源里小区 南北通透 有电梯三居	81.23㎡	57245元/㎡	465万元
双线地铁环绕，电梯房中间楼层，精装修南向二居室 商品房	63.46㎡	55941元/㎡	355万元
广安门朗琴园1居室 视野开阔	47.47㎡	90163元/㎡	428万元
东关南里 三室两厅两卫 满五	123㎡	37399元/㎡	460万元
福怡苑南区 全南向两居 中间层 满五一套   清晰	70.12㎡	44210元/㎡	310万元
急售满五当代采育满庭春MOMA两居南北通透户型	89.71㎡	14046元/㎡	126万元
买房0.1 地铁10号19号线 草桥东路16号院 电梯两居	63.45㎡	59260元/㎡	376万元
C21本周必看好房  润枫领尚2室1厅 南北通透 紧邻地铁	87.94㎡	44917元/㎡	395万元
蜂鸟家园新出一居室 经典实用 格局方正 诚意出售，随时签约	47.66㎡	117499元/㎡	560万元
长安新城，精装，满五年商品房两居	98.3㎡	42727元/㎡	420万元
龙湖时代天街（西区）精装修三居 总价低 有钥匙随时看房	135.68㎡	39653元/㎡	538万元
霁月园 电梯房 南北通透两室两厅	104.34㎡	32490元/㎡	339万元
管庄  瑞祥里  2室  1厅	87.12㎡	38798元/㎡	338万元
4号线马家堡站，马家堡西里3居，双卧朝南，采光好，电梯直达	71.7㎡	52999元/㎡	380万元
东五环外 保利嘉园1号院东南两居室	89.97㎡	43348元/㎡	390万元
海淀 常青园北里 三居两卫 诚意出售 看房方便	108㎡	48149元/㎡	520万元
西城广安门外 西豪逸景南向两居 户型出房少 交易税费低 诚售	83.71㎡	89596元/㎡	750万元
（买房0傭金）滨河里 南北 全明格局 视野好 户型方正	67.85㎡	68976元/㎡	468万元
新上好房！七里庄，望园西里两居室，明厅满五V一	57.9㎡	55268元/㎡	320万元
多年老业主急售房源，价格能大谈，双卧朝南的三居	132.67㎡	34673元/㎡	460万元
金安桥地铁口 全南两居 采光视野好 地暖	95.88㎡	42554元/㎡	408万元
业主急售（价格可谈）（板楼中间层，精装修）	45.4㎡	95815元/㎡	435万元
招商都会湾(一期) ~次新小区人车分流~ 带电梯~ 精装修	88.8㎡	46735元/㎡	415万元
抢手！朝阳外国语对面 双地铁 中铁建国际城一手现房 随时看房	81.44㎡	82884元/㎡	675万元
（全南双层120平）（月租1.8w（买方0手续）租售比近5%	61㎡	80328元/㎡	490万元
学院路  双清路16号院  低楼层两居 满五  诚意出售	61.3㎡	60196元/㎡	369万元
北京南站开阳里三区3室2厅南北通透满五  商品房	98.23㎡	64645元/㎡	635万元
北京风景68号院 客厅朝南 全屋地暖 房龄新 不把边 低密	92.97㎡	40336元/㎡	375万元
急售 南三环 正规两居 双卧朝南 带电梯 满五    近地铁	64.21㎡	54509元/㎡	350万元
北七家  六环里  精装三居 东边户  电梯房	160.75㎡	26439元/㎡	425万元
亦庄新城  融科香雪兰溪  南北通透三居室 三面朝阳	128.06㎡	35921元/㎡	460万元
东城区 东直门 东中街 全南2居室 满五年   精装修	53.31㎡	97356元/㎡	519万元
亦庄 高楼层视野好 商品住宅 小三房 南北通透 精装好房。	98.27㎡	70724元/㎡	695万元
西三旗建材城西一里南北两居 海淀  紧邻双城铁满五  	56.5㎡	56461元/㎡	319万元
南线阁附近两居室 东西通透 全明格局 中间楼层看房提前约	58.07㎡	80937元/㎡	470万元
地铁口 必看好房 保利首开熙悦春天 不临高速 已知底价 急售	96.09㎡	39443元/㎡	379万元
建外西区 137平单价3.5万（法拍房）可按揭（七十年）国贸	137.33㎡	42599元/㎡	585万元
急卖可大谈，金沟河路12号院南北通透两居室，满五年，不临街	58.2㎡	65293元/㎡	380万元
品质小区,交通便利,环境优美,配套成熟,低密度	125.12㎡	38204元/㎡	478万元
融泽2院 高层全明98户型 满5年价格有惊喜 紧邻地铁13线	98.83㎡	43004元/㎡	425万元
东四环 国贸 地铁一号线 满五   中间楼位 南向带电梯一居	60.62㎡	55593元/㎡	337万元
方庄 芳星园三区 新上东南向 两室一厅   采光好 看房方便	68.6㎡	50875元/㎡	349万元
果岭小镇 三室两厅两卫	132.7㎡	35796元/㎡	475万元
西城二环内，陶然亭白纸坊  南运巷  西南两居，电梯直达	57.09㎡	88457元/㎡	505万元
陶然亭  姚家井诚心出售南向两居室	49.95㎡	109910元/㎡	549万元
社区店真诚服务十年有钥匙 一层南花苑100平 三居双卧厅朝南	123.09㎡	38915元/㎡	479万元
果园 出行方便 近医院   清晰 近地铁 楼层好 南北通透	115.1㎡	46482元/㎡	535万元
诚心出售！价格可刀！直达望京！    ！落地窗视野开阔！	145㎡	68828元/㎡	998万元
招商都会湾(一期) 户型方正 南北通透 采光充足 房龄新	88.49㎡	48029元/㎡	425万元
融科香雪兰溪 装修好 双卫 正规商品房 商业配套成熟	130.76㎡	34797元/㎡	455万元
福怡苑南北两居 高层 自住精装修 商品房 封闭管理 采光好	70.27㎡	43831元/㎡	308万元
崇文门 高层 视野好 方便看通透性好	82.46㎡	102838元/㎡	848万元
（367）W丰台南三环玉泉营 三环新城南北两居 临地铁 法拍	90.11㎡	42948元/㎡	387万元
拓然家苑 2居室 南北通透 中间楼层 低密度小区	97.85㎡	30660元/㎡	300万元
交易有保单 安心购 必看好房 长阳国际城一区3室1厅	88.88㎡	41517元/㎡	369万元
新上）南排3层 视野开阔可观颐和园 满五一 价格可谈 不临街	89㎡	77304元/㎡	688万元
（优选好房）恒大御景湾(东区)  交通便捷 商业配套成熟	89.69㎡	42926元/㎡	385万元
1号线传媒大学地铁站旁  南北两居室 满五   业主诚售	89.5㎡	38995元/㎡	349万元
建国门大羊宜宾胡同33号院2室1厅建国门地铁站北京站旁	57.55㎡	99045元/㎡	570万元
西安街4号院 3室1厅 83.47平 满五年一套 商品房	83.47㎡	62298元/㎡	520万元
业主包主税 装修好 西府颐园两居 南向采光好 高层视野好	94.06㎡	47842元/㎡	450万元
刘家窑 地铁边 方南家园一期 南北通透两居室 双客厅	88.73㎡	42602元/㎡	378万元
金科廊桥水岸,  精装修二室二厅一卫  户型方正  电梯房！	91.7㎡	45802元/㎡	420万元
朝阳新城四区 南北通透三居2卫 中间楼层 视野好 明卫	109.23㎡	41656元/㎡	455万元
西上园一区中层无遮挡不临街，双地铁  业主诚心出售 价格好谈	89.89㎡	47281元/㎡	425万元
北师大南门对过 电梯直达 正规三居室 满五年 税费少	68.2㎡	74047元/㎡	505万元
华威桥 小区绿化高 集中供暖 交通便利 近地铁 刚需两居	113.25㎡	85652元/㎡	970万元
（保真）法式洋房 尚层精装修 拎包入住 诚心出售 房价可议	136.18㎡	33779元/㎡	460万元
交通便利,环境优美,配套成熟,出行便利,生活配套齐备	84.38㎡	36739元/㎡	310万元
临河里  华业东方玫瑰D区  2室  1厅	88.54㎡	47324元/㎡	419万元
朝青  国美第一城2号院 东南三居室，精装修，拎包入住	125.78㎡	52950元/㎡	666万元
北苑茉藜园 单价4万多 板楼 层高2.9米 双卫	114.75㎡	40000元/㎡	459万元
路劲世界城(二期) 两室一厅一卫 满五	88.02㎡	38742元/㎡	341万元
学院路  八家嘉园  1室  1厅	64.33㎡	65289元/㎡	420万元
海淀五棵松 永定路57号院  中间楼层两居室 业主急售	54.6㎡	73261元/㎡	400万元
急售 2016次新房 中间楼层 两梯四户 华业东方玫瑰	88.25㎡	47253元/㎡	417万元
富力桃园(C区) 精装修 大两居 临地铁 交通便利 中间楼层	89.17㎡	71774元/㎡	640万元
必看好房  欢乐谷 垡头 翠成馨园 C区 南北 双卫 低层	120.79㎡	43050元/㎡	520万元
北京怡园 三室两厅一卫 满五	97.85㎡	45989元/㎡	450万元
万泉庄 南北通透两居室 一层公房 下楼就是万泉	57.8㎡	96886元/㎡	560万元
买一得三望京北！顺义仁和！地铁800米！精装现房！开发商直签	127㎡	33859元/㎡	430万元
丰体时代 ~四环边~地铁大井14号先~新装2居室 全南向	95.87㎡	49547元/㎡	475万元
商业配套成熟 停车方便 大两房 近医院   清晰 交通便捷	84.69㎡	36841元/㎡	312万元
新增，三环里，  全明两居，南北通透，低楼层，近地铁近公园	57.1㎡	53941元/㎡	308万元
电梯房 两居室带客厅户型 诚意出售 采光视野好	63.11㎡	116622元/㎡	736万元
买房0慵金 京汉旭城 2室1厅 88.58平	88.9㎡	66930元/㎡	595万元
和平里  小黄庄一区  2室  1厅	56.63㎡	97122元/㎡	550万元
    房源 7号楼 C户型 22层 全南阳光两居室 有钥匙	86.96㎡	61983元/㎡	539万元
开发商直签！随时可看！地铁17号线 国企开发 精装电梯洋房	89㎡	61798元/㎡	550万元
1号线新上华业新社区正规三居室业主急售随时可以看房	115.09㎡	46486元/㎡	535万元
京科苑小区 两室一厅一卫 满五	75.15㎡	30606元/㎡	230万元
汇景苑二区高层景观南向两居 满五一套 仅   视野一览无余	85.47㎡	45631元/㎡	390万元
美唐二期，E3三居室，南北通透，不临街可看房，中间层	96.13㎡	73651元/㎡	708万元
西豪逸景 西南两居室 满五  	80.43㎡	80816元/㎡	650万元
望都家园 新上大两居，南北双通透，满五一套，	116.47㎡	26617元/㎡	310万元
金隅万科二期 三室两厅两卫 满五	124.78㎡	43677元/㎡	545万元
新上！实拍！南向阳光好，只有  ，看房随时，老业主的房子	60.97㎡	82008元/㎡	500万元
泥洼路32号院 泥洼地铁口 房子户型方正，难得两居室	63.39㎡	52059元/㎡	330万元
新上精装好房 保利紫荆香谷小区人车分流 南北通透三居室全明	99㎡	46667元/㎡	462万元
汇景苑二区 中间楼层 南向两居 有钥匙 随时看房 采光视野好	86.88㎡	44660元/㎡	388万元
通州区武夷  加华印象街南北通透 明厨明卫2室1厅 满五  	87.58㎡	46016元/㎡	403万元
急售，江山赋两居室，小区中间位置，次顶层采光好，满五一套	95.79㎡	50110元/㎡	480万元
东四环 性价比之    户型 两居室一楼带阳台 诚意出售	95.47㎡	65990元/㎡	630万元
东三环 双井合生汇 南北两居 采光好 园林社区 近地铁	97.23㎡	82074元/㎡	798万元
2018年房主跟我买的海淀区西四环外绿谷雅园一层有院两居	104.66㎡	59718元/㎡	625万元
新，南向一居，阳光充足，有车位，拎包住，不临马路安静	62.34㎡	95926元/㎡	598万元
急售 华业东方玫瑰 明厨明 朝南 集中供暖 临地铁 户型好！	90.08㎡	45072元/㎡	406万元
鑫兆丽园南北两居带电梯 大阳台	131.51㎡	37944元/㎡	499万元
480W现房精装，直接入住，随时看房	120㎡	43334元/㎡	520万元
东城区 崇文门 都市馨园 全南向两居室 双阳台 全天采光	72.64㎡	86730元/㎡	630万元
14号线张郭庄站300米 14居 全户型 利好河西	82㎡	54879元/㎡	450万元
紧邻六里桥地铁站910号线 南北通透三居室	75.95㎡	52008元/㎡	395万元
  房源！总价  ！把边复式，双卫双主卧设计，价格可谈！	80.88㎡	93720元/㎡	758万元
常营管庄双地铁，南向两居，家具家电可留下，满五年  ，视野好	100.11㎡	47848元/㎡	479万元
学院路八家嘉园1室1厅	64.33㎡	73061元/㎡	470万元
此房是业主之前找我买的 我知道业主目前心里预期欢迎来电详询	102.73㎡	53539元/㎡	550万元
（必看）临地铁~绿港家园3区 电梯 高层 南北通透~可谈	91.47㎡	35531元/㎡	325万元
特价！双地铁！朝阳新北苑！外国语  ！现房！南北通透！	89.67㎡	71373元/㎡	640万元
东城区 永定门外地铁站 革新里 南北通透两居	57.3㎡	61083元/㎡	350万元
南北通透 小区新 有电梯 高楼层视野好 近一周新上房源	77.64㎡	47399元/㎡	368万元
长阳  溪雅苑二区  3室  2厅 高楼层 全明格局	179.13㎡	25066元/㎡	449万元
龙山御景 户型方正 房龄新 价格可议 带电梯板楼	129.79㎡	36213元/㎡	470万元
汇景苑四区 新上南北三居 明厨明卫 高楼层 视野采光好	88.55㎡	41785元/㎡	370万元
交易有保单 必看好房 店长力荐 龙湖时代天街（东区）	98.83㎡	44218元/㎡	437万元
必看好房恒云小李急荐 珠光自住房 满二急售 领包可住首付低	92.11㎡	36370元/㎡	335万元
近三条地铁 草桥欣园四区 南北通透一居室 全明格局	62.25㎡	59278元/㎡	369万元
悦和园新上南向两居 中间楼层 中心楼栋 有钥匙随时看房	78.77㎡	41260元/㎡	325万元
七折急售 富力又一城 两居87平米 法拍房	87㎡	45978元/㎡	400万元
安家 清河 宝盛里 南向一居室 中间楼层 有钥匙 随时签约	53.09㎡	60276元/㎡	320万元
急！  ！一品亦庄 一层带花苑  全明格局	108.14㎡	49936元/㎡	540万元
住在公园里什么感受！精装下跃现房！R4地铁线出行便利！	89㎡	38203元/㎡	340万元
折530！新北苑！地铁500米！价格倒挂二手，  即住！	74.78㎡	81573元/㎡	610万元
朝阳外国语对面 双地铁 中铁建国际城一手现房 随时看房	74.32㎡	81540元/㎡	606万元
交易有保单 必看好房 店长力荐 金科嘉苑	89.78㎡	31745元/㎡	285万元
芍药居北里 南北一居 大客厅 楼层好 有电梯 采光足	51㎡	75491元/㎡	385万元
新上！满五  商品房 宋家庄地铁口南北通透！！	85.73㎡	38493元/㎡	330万元
五棵松  金沟河5号院  3室  1厅	83㎡	74097元/㎡	615万元
西三旗  北新家园  2室  1厅	58.7㎡	56219元/㎡	330万元
车公庄  车公庄北里  1室  1厅	44.2㎡	109955元/㎡	486万元
不临街不把边  次顶层 南北通透采光好	90㎡	70889元/㎡	638万元
随时看 东城区 天永区域 定安里     进地铁 采光无遮挡	49.9㎡	67135元/㎡	335万元
二环内 新上 西直门东桃园2室1厅	45.7㎡	98469元/㎡	450万元
满五   高楼层采光充足   清晰 装修好 南北通透 有电梯	85.74㎡	16679元/㎡	143万元
专车接！别墅区内现房！百米楼间距！通州现房！亦庄台湖	81㎡	16173元/㎡	131万元
新上 百万庄 黄瓜园 满五年 精装修 小区安静不临街	56.4㎡	100710元/㎡	568万元
建设部大院 一层有院南北向三居 三卧朝南带客厅	96.4㎡	103527元/㎡	998万元
林奥嘉园 精装两居室 看房随时	110.32㎡	57107元/㎡	630万元
大区   龙华园南北两居室 中间楼层 不临街 装修好	71.91㎡	45196元/㎡	325万元
海淀嘉郡 房龄新 低密度宜居住 三零八万 八折上架 仅 法怕	93.81㎡	44772元/㎡	420万元
天通苑东一区 新上板楼4层两居室 采光视野好诚售 看房方便	84.88㎡	37112元/㎡	315万元
  地东安街头条2001年的两居室 低楼层诚意出售	67.42㎡	53249元/㎡	359万元
   正规一居 价格有惊喜 满五年双朝向 远见名苑 朗琴园	54.86㎡	100256元/㎡	550万元
古城中海金玺公馆，2017年人车分流小区！环境好，物业好	71.85㎡	59152元/㎡	425万元
满二 精装好房 带电梯 双卫 中间楼层 低容积 诚心出售	72㎡	58334元/㎡	420万元
宜居二层 小三居 户型方正 临近地铁	68.4㎡	91521元/㎡	626万元
绿地西斯莱,3居室,2厅	120.65㎡	57605元/㎡	695万元
富力金禧花园一层少见房源，南向院	62.92㎡	69613元/㎡	438万元
美景东方新出高层一居室，纯南向落地窗，低成本	51.13㎡	78037元/㎡	399万元
美景东方新出高层一居室，纯南向落地窗，低成本	51.13㎡	78037元/㎡	399万元
花园小区 大两房 南北通透 满五 商品房 交通便利 钥匙房	80.45㎡	20883元/㎡	168万元
新房直销 一手新房 北苑 双地铁 龙湖天街 华贸天地 奥森	77.94㎡	78266元/㎡	610万元
东四环11年小区，满五  ，无遮挡税费低，邻十里堡地铁站	66.85㎡	53852元/㎡	360万元
长阳  金地朗悦朗园（一期）  3室  1厅	93.1㎡	44791元/㎡	417万元
东坝金泰丽富嘉园30号院南北通透两居室高楼层采光好业主诚售	78.8㎡	40610元/㎡	320万元
金隅万科一期 户型方正 南北通透 高楼层 钢混结构 小区中	89.74㎡	41231元/㎡	370万元
旧宫新苑南区中高楼层南北通透两居室	84.29㎡	39744元/㎡	335万元
四季青  曙光花园望山园2室 公房  双阳台南向	98.28㎡	92593元/㎡	910万元
东亚南北两居室 精装拎包入住！	81.79㎡	27388元/㎡	224万元
清河 清景园 新上南北动边户2居，几年不出一套房，    	98.42㎡	70718元/㎡	696万元
找我价格能大聊，一个好姐姐家，满五，随时看房	80㎡	14125元/㎡	113万元
通州区武夷  京贸国际城西区2室1厅	92.74㎡	49602元/㎡	460万元
密云周边 双卫生间   清晰 满二   带电梯 医疗配套成熟	138.68㎡	24157元/㎡	335万元
房山区长阳半岛云湾家园怡和路3室，满五一套，有钥匙，中心位置	98.12㎡	41684元/㎡	409万元
紫金二区B20户型 中间楼层  装修底子好 挨着地铁和商业	90.91㎡	66880元/㎡	608万元
西单西绒线 新壁街6号院 低楼层 满五年 近医院 停车方便	50.93㎡	106421元/㎡	542万元
康庄 板楼 密度低   清晰 大两居 中间楼层 南北通透	83㎡	7229元/㎡	60万元
新上  急！  ！贵园北里甲 南北通透3居 5v1 诚意出售	102.12㎡	42597元/㎡	435万元
业主急售，别看报价，能谈，正看小区园林绝美晚霞	120㎡	65834元/㎡	790万元
老山西里一层南北钢混三居，特殊户型，带15平米大阳台，有钥匙	58.19㎡	57571元/㎡	335万元
园博嘉园 精装 两居室 东西通透 钥匙房 换房出售	84.33㎡	41386元/㎡	349万元
满五 南北通透 集中供暖 带电梯   清晰 精装修	90.5㎡	21879元/㎡	198万元
（国贸  房）老业主独！家委托，有钥匙随时看，刚需上车必看	97.3㎡	85304元/㎡	830万元
东里很好的小三居室户型，二层，不临街，可以看房！	72.3㎡	134164元/㎡	970万元
国贸CBD  远洋天地大二居 双卫设计 宽敞客厅  诚意出售	120.01㎡	57079元/㎡	685万元
（新增）尚峰尚水 住宅两居室 满五年 高楼层 视野好	94.72㎡	67146元/㎡	636万元
西四环 丰体时代 西向 两室一厅 满五年 诚心出售	93.51㎡	41173元/㎡	385万元
公园6号 三室两厅两卫 满五	106.42㎡	32701元/㎡	348万元
电报局，中楼层位置好交通便利 南北通透采光好	58.2㎡	54124元/㎡	315万元
回龙观08年社区，一层满五  住房，有钥匙随时看，价格可仪	98.33㎡	40578元/㎡	399万元
交易有保单 必看好房 店长力荐 金华园	134.34㎡	30371元/㎡	408万元
角门  马家堡甲120号院  3室  1厅	69.72㎡	49484元/㎡	345万元
望京地铁商场边，低总价两居室，周边生活方便！	101.08㎡	48477元/㎡	490万元
必卖 必看 好房 急售  电梯房  南北通透  万科窦店	87.84㎡	14686元/㎡	129万元
南宫景苑(一区) 有电梯 正规商品房 刚需两居 小区绿化高	89.67㎡	37360元/㎡	335万元
周庄子家园 2室1厅 90.59平 高楼层 诚心卖	90.07㎡	71611元/㎡	645万元
建國门内 海关汇文旁 电梯直达 无遮挡三居 业主诚售	82.26㎡	77316元/㎡	636万元
首座御园一期,2居室,2厅	92.42㎡	34409元/㎡	318万元
橡树湾大三居 次新房 单价低 业主急售	124.33㎡	38205元/㎡	475万元
南北三居，二层，74米 社区已全新改造，协和金宝街旁	74.05㎡	85753元/㎡	635万元
西二环着急卖！有钥匙金泰蓝调正规两居 近地铁 丽泽金融街	84.21㎡	74813元/㎡	630万元
万科青青家园三居室 双卧室客厅朝南 南北通透户型  洋房	121.98㎡	37548元/㎡	458万元
亦庄新城东亚两居室 南北通透  满五年一套 商品房 随时看房	76.46㎡	26812元/㎡	205万元
金科廊桥水岸 四室两厅两卫 满五	128.22㎡	45235元/㎡	580万元
商品住宅 精装可拎包入住 板楼 带电梯 南北通透 刚需两居	91.03㎡	21092元/㎡	192万元
新上房源海淀区学院路城华园2室1厅 南北通透 不临街	78.98㎡	82300元/㎡	650万元
优选房源 首师大 南向1居 电梯直达 价位可谈 随时看	43㎡	126745元/㎡	545万元
亦庄新区 融科香雪 南北通透三居室 中间楼层 视野开阔	89.32㎡	34595元/㎡	309万元
北苑奥森旁~林奥嘉园南北两居~位置安静~看房随时有钥匙	125.58㎡	62112元/㎡	780万元
北京南站  世纪金色嘉园  1室  1厅	63.51㎡	60621元/㎡	385万元
四惠远洋天地二期  国贸CBD 高层西南两居观景华贸金地诚售	120.52㎡	56838元/㎡	685万元
百子湾 沿海赛洛城 南北两居 前后不临街 交通方便	97㎡	64433元/㎡	625万元
精装修，明厨明卫，带家具家电，价格能商量，有钥匙随时看	49.63㎡	68507元/㎡	340万元
可大谈 3层 不临街 明厅 软件园 上地 北五环 北清路	80.7㎡	75341元/㎡	608万元
有钥匙 低总价 满五  正规两居室 双地铁达官营	88.04㎡	111995元/㎡	986万元
西城区新街口德胜门西大街64号楼2室0厅	44.6㎡	103140元/㎡	460万元
青春苑西区 满五年 3室2厅2卫1阳台 南北通透 房龄新	132.15㎡	32539元/㎡	430万元
三环边上国贸双井附近合生国际  大三居	137㎡	72263元/㎡	990万元
双地铁东大街东里 采光好 业主诚心出售 可谈 看房随时看	75.8㎡	44196元/㎡	335万元
东关 百合湾 六号地铁站北运河西站 5   高楼层	82.37㎡	71507元/㎡	589万元
新上 精装修一居室 带电梯 满五  	43.1㎡	104409元/㎡	450万元
长阳稻田地铁站 南北通透，采光好无遮挡 户型方诚心出售	80.18㎡	30557元/㎡	245万元
地铁沿线 珠江绿洲 3居出售 双卫 主卧圆弧窗	117㎡	43590元/㎡	510万元
龙庆望都佳园 满五年 独立客厅 房龄新 价格可议	82.72㎡	9672元/㎡	80万元
果岭小镇 三室两厅两卫 满五	132.95㎡	35954元/㎡	478万元
急售 加州水郡两居 眼镜户型 满五   视野好采光足	87.71㎡	20523元/㎡	180万元
世纪星城三期全南向两居室 高楼层采光充足 观景佳	100.93㎡	36560元/㎡	369万元
陶然亭天桥北里东向大阳台2室2厅，2002年房龄，满五  	81.71㎡	85425元/㎡	698万元
嘉禾园小区，新上精装修大三居，满五年，近地铁	110.92㎡	55897元/㎡	620万元
国贸 中骏世界城 豪华一居 燃气 急售 在京 随时面谈 签约	76.54㎡	49648元/㎡	380万元
车公庄北里 三居 正规南向客厅 满五年   中外运家属楼	90.2㎡	107539元/㎡	970万元
金地朗悦朗园一期，精装大三居，三面采光，双卧室朝南！明厨明卫	96.35㎡	45564元/㎡	439万元
大红门 建欣苑 南北通透 满五年一套 10号线8号线双地铁	82.41㎡	43685元/㎡	360万元
首创澜茵山，118W标准3居，南北通话，环境优美，看房有钥匙	95.88㎡	12308元/㎡	118万元
朱辛庄，次顶层，业主急售，可大聊	113.83㎡	59739元/㎡	680万元
西城 达官营站！远见名苑 超低总价正规两居，高层视野好	81㎡	91359元/㎡	740万元
